Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B006- Support Services,Agency Costs,07/01/2019,Cashbook January,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B006- Support Services,Agency Costs,07/01/2019,Cashbook January,"£2,062.50",Revenue,Venn Group Ltd,Employment Agency
B006- Support Services,Agency Costs,07/01/2019,Cashbook January,"£7,562.50",Revenue,Solace,Employment Agency
B006- Support Services,Agency Costs,07/01/2019,Cashbook January,"£6,720.00",Revenue,Green Park,Employment Agency
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£33,113.50",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£9,224.50",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£38,075.30",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£15,238.00",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£47,847.30",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£20,491.50",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£41,974.50",Revenue,Inner Circle Consulting,Consultancy
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£20,216.00",Revenue,Inner Circle Consulting,Consultancy
B020 - Business,Annual Business Subscription,07/01/2019,Cashbook January,"£11,520.00",Revenue,Beauhurst,Subscription
B014 - Staffing Costs,Employee Training,07/01/2019,Cashbook January,"£1,617.83",Revenue,Kaplan Financial,Training Provider
B006- Support Services,Consultancy Support,07/01/2019,Cashbook January,"£6,750.00",Revenue,Workfolk,Consultancy
B006- Support Services,Agency Costs,07/01/2019,Cashbook January,"£2,090.00",Revenue,Venn Group Ltd,Employment Agency
B006- Support Services,Legal Fees,14/01/2019,Cashbook January,"£83,516.13",Revenue,Pinsent Masons,Legal
B006- Support Services,Agency Costs,14/01/2019,Cashbook January,"£2,480.00",Revenue,Sellick Partnership,Employment Agency
