Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B020 - Business,Agri-tech Consultancy Support,05/11/2018,Cashbook November,£812.50,Revenue,Hewdon ,Consultancy
B015 - Corporate Overheads,Cleaning Services,05/11/2018,Cashbook November,"£1,279.70",Revenue,Silvertone Cleaning Company Ltd,Cleaning Company
B006 - Support Services,Agency Costs,05/11/2018,Cashbook November,"£2,090.00",Revenue,Venn Group Ltd,Employment Agency
B006 - Support Services,Agency Costs,05/11/2018,Cashbook November,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,IT Costs,05/11/2018,Cashbook November,"£23,825.90",Revenue,Huntingdon District Council,Local Authority
B015 - Corporate Overheads,Office Fitout Costs,05/11/2018,Cashbook November,"£1,980.00",Revenue,BNP Paribas Real Estate,Overheads
B006 - Support Services,Audit Services,05/11/2018,Cashbook November,"£6,738.00",Revenue,Ernst & Young,Auditors
B017 - Strategic Planning,Consultancy Support,05/11/2018,Cashbook November,"£1,325.02",Revenue,Paraclete Partnership Ltd,Consultancy
B017 - Strategic Planning,Consultancy Support,05/11/2018,Cashbook November,"£11,750.00",Revenue,Paraclete Partnership Ltd,Consultancy
B017 - Strategic Planning,Consultancy Support,05/11/2018,Cashbook November,"£11,750.00",Revenue,Paraclete Partnership Ltd,Consultancy
B010 - Skills,Consultancy Support,05/11/2018,Cashbook November,"£2,500.00",Revenue,Regeneris Consulting Ltd,Consultancy
B009 - New Homes & Communities,Affordable Housing Grant,05/11/2018,Cashbook November,"£367,500.00",Capital,Cross Keys Homes,Housing Association
B006 - Support Services,Legal Costs,12/11/2018,Cashbook November,"£11,202.00",Revenue,Trowers & Hamlins LLP,Legal
B020 - Business,Agri-tech Consultancy Support,12/11/2018,Cashbook November,£562.50,Revenue,Hewdon ,Consultancy
B006 - Support Services,Agency Costs,12/11/2018,Cashbook November,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Agency Costs,12/11/2018,Cashbook November,"£2,090.00",Revenue,Venn Group Ltd,Employment Agency
B006 - Support Services,Agency Costs,12/11/2018,Cashbook November,"£10,890.00",Revenue,Solace In Business,Employment Agency
