Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"3,163.13",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"7,665.01",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"7,776.58",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B017 - Strategic Planning ,Growth Funds claim,11/06/2018,Cashbook June,"8,398.12",Revenue,University Centre Peterborough,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"8,434.85",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"9,462.00",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"12,987.48",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"16,331.23",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"18,042.00",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B017 - Strategic Planning ,Growth Funds claim,11/06/2018,Cashbook June,"19,123.91",Revenue,Cambridge Science Centre,Grant Recipient 
B020 - Business ,Agri-tech claim,11/06/2018,Cashbook June,"25,452.75",Capital ,Agri-tech Claim Recipient ,Grant Recipient 
B017 - Strategic Planning ,Growth Funds claim,11/06/2018,Cashbook June,"31,000.00",Revenue,Collusion,Grant Recipient 
B017 - Strategic Planning ,Growth Funds claim,11/06/2018,Cashbook June,"70,243.00",Capital ,Fenland District Council ,Grant Recipient 
B020 - Business ,Agri-tech consultancy support,11/06/2018,Cashbook June,750.00,Revenue,Hewdon Consulting Ltd,Consultancy
