Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,04-Nov-15,19422265-12229541,-29663.1,Kisimul School,Care Establishment,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,09-Nov-15,19495453-12243787,-27564.48,The Edmund Trust,Care Establishment,2 - Operations - Learning Disability,LDP City Team,Residential Independent Sector
Cambridgeshire County Council,17-Nov-15,19493279-12377058,-21741,Huntingdonshire District Council,Other Public Bodies,Assets & Commissioning,St.Neots HWRC,Business rates
Cambridgeshire County Council,26-Nov-15,19569770-12423622,-20370.33,Park House School,Education,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,02-Nov-15,19477406-12222510,-9248.14,Dews Coaches,Trade Supplier,S&C,H to S Transport - Secondary,Home to School - Contract
Cambridgeshire County Council,13-Nov-15,19423381-12357251,-7950.36,Guidant Group,Trade Supplier,LGSS,Audit Division,Pay - Agency Staff
Cambridgeshire County Council,20-Nov-15,19553768-12404134,-7306.7,Moments Fostering Limited,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
Cambridgeshire County Council,26-Nov-15,19550414-12423497,-3500.93,Lex Autolease Ltd,Trade Supplier,LGSS Managed,LGSS Property Trading Recharges,Leased Vehicle Costs
Cambridgeshire County Council,13-Nov-15,19471301-12361309,-2946.98,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Supported Living
Cambridgeshire County Council,13-Nov-15,19471302-12361310,-2946.98,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Supported Living
Cambridgeshire County Council,13-Nov-15,19471304-12361312,-2946.98,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Supported Living
Cambridgeshire County Council,17-Nov-15,19512238-12377057,-2700,Huntingdonshire District Council,Other Public Bodies,LGSS Managed,Yaxley Children's Centre,Business rates
Cambridgeshire County Council,13-Nov-15,19471303-12361311,-2525.98,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Supported Living
Cambridgeshire County Council,26-Nov-15,19551727-12423621,-2217.72,Park House School,Education,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,23-Nov-15,19563962-12407815,-2141.56,Mencap,Care Establishment,2 - Operations - Learning Disability,LDP City Team,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,27-Nov-15,19584061-12432379,-1970.95,Orchard Manor (Scope),Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19523642-12360390,-1890.26,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19523643-12360391,-1890.26,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19532466-12360532,-1890.26,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19532503-12360569,-1890.26,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19532528-12360594,-1890.26,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19520693-12360447,-1871.96,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19520730-12360484,-1871.96,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19529624-12360426,-1871.96,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19529625-12360427,-1871.96,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19529636-12360408,-1871.96,Haddon House,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,03-Nov-15,19389311-12226947,-1801.48,Guidant Group,Trade Supplier,Executive Director,Connecting Cambridgeshire,Pay - Agency Staff
Cambridgeshire County Council,13-Nov-15,19514314-12355300,-1778.47,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19514317-12355301,-1778.47,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19514325-12355307,-1778.47,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19514326-12355308,-1778.47,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,13-Nov-15,19533700-12355310,-1778.47,Brookdale Healthcare Limited,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Residential Independent Sector
Cambridgeshire County Council,02-Nov-15,19394283-12222768,-1620,Cambridge City Council,Other Public Bodies,LRNG,Cambs Music Central Management,Business rates
Cambridgeshire County Council,13-Nov-15,19515943-12371722,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515944-12371709,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515945-12371710,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515946-12371711,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515947-12371712,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515948-12371713,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515950-12371715,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515951-12371716,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515952-12371717,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515953-12371718,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515954-12371719,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515955-12371720,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19515956-12371721,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19525917-12372068,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19525918-12372069,-1477.57,Westminster Homecare Limited,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs Team,SDS - Care and support Services
Cambridgeshire County Council,13-Nov-15,19451370-12360887,-1412.84,Graham Facilities Management Ltd,Company,LGSS Managed,Whittlesford Highways Depot,Building Maintenance - Structural Maintenance - Planned
