Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,01-Jun-16,20817679-13420692,-80635.22,Ameycespa Wm (East )Limited,Trade Supplier,Assets & Commissioning,Waste PFI,Landfill Tax
Cambridgeshire County Council,14-Jun-16,20873816-13482719,-36508.48,Civica Uk Ltd,Trade Supplier,LGSS,3rd Party Contracts,Computer hardware - maintenance
Cambridgeshire County Council,16-Jun-16,20904700-13493267,-36508.48,Civica Uk Ltd,Trade Supplier,LGSS,3rd Party Contracts,Computer hardware - maintenance
Cambridgeshire County Council,02-Jun-16,20850033-13434739,-29576.4,Ameycespa Wm (East )Limited,Trade Supplier,Assets & Commissioning,Bluntisham HWRC,WRA Licenses
Cambridgeshire County Council,27-Jun-16,20966412-13554089,-21073.05,Guidant Group,Trade Supplier,4 - Operations - Providers services,Jasmine House,Pay - Agency Staff
Cambridgeshire County Council,27-Jun-16,20574624-13553996,-13076,The Edmund Trust,Care Establishment,2 - Commissioning - Older people Pool,Older People - City & South,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,02-Jun-16,20751696-13431070,-7856.5,Balfour Beatty Living Places Limited,Company,Traffic Management & Road Safety,Signals Capital,Capital WIP - roads  -  Construction cost
Cambridgeshire County Council,30-Jun-16,20964320-13570997,-6590.1,Ameycespa (East) Ltd,Trade Supplier,LGSS Managed,Building Maintenance,Refuse collection charge
Cambridgeshire County Council,24-Jun-16,20964454-13551215,-6490,S Anjum T/A A Star Cars,Trade Supplier,S&C,H to S Transport - HRC,Home to School - Contract
Cambridgeshire County Council,01-Jun-16,20777743-13420608,-4840,South Cambridgeshire District Council,Other Public Bodies,SMI's,LMS - Rates Secondary,Business rates
Cambridgeshire County Council,24-Jun-16,20966301-13551181,-3671.71,Hopwells Ltd,Trade Supplier,S&C,Catering - Hopwells Payments,School Meals
Cambridgeshire County Council,02-Jun-16,20846453-13433117,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846454-13433118,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846458-13433119,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846464-13433103,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846465-13433104,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846466-13433105,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846468-13433106,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846472-13433110,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846473-13433111,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20846476-13433113,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847927-13433128,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847928-13433129,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847930-13433130,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847932-13433132,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847935-13433135,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847939-13433137,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847941-13433139,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847943-13433140,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847946-13433141,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847948-13433142,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847959-13433149,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,02-Jun-16,20847960-13433150,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
Cambridgeshire County Council,16-Jun-16,20879847-13492522,-3425.3,Graham Facilities Management Ltd,Company,LGSS Managed,"Waterlees Adventure Playground	",Building Maintenance - Structural Maintenance - Unplanned
Cambridgeshire County Council,16-Jun-16,20910829-13492842,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,16-Jun-16,20910832-13492845,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,16-Jun-16,20910837-13492850,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,16-Jun-16,20910843-13492856,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,16-Jun-16,20910849-13492862,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,16-Jun-16,20911798-13492803,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,16-Jun-16,20911815-13492819,-2580.3,Social Care Solutions Ltd,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
