Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,02-Mar-16,20069670-12900557,-45000,Mott Macdonald Ltd,Trade Supplier,Director of Growth & Infrastructure,City Deal - A10 North,Capital WIP - other  -  Expenditure / Payments
Cambridgeshire County Council,31-Mar-16,20166706-13082879,-13888,Archways Care Ltd (Birmingham),Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
Cambridgeshire County Council,24-Mar-16,20092496-13034107,-6724.06,Mears Care Ltd,Care Establishment,2 - Commissioning - Older people Pool,Older People - City & South,Supported Living
Cambridgeshire County Council,02-Mar-16,19687421-12900586,-5080.19,Network Rail,Company,Local Infrastructure & Street Management,Bridges Works,Bridge Strengthening
Cambridgeshire County Council,23-Mar-16,19953237-13026759,-4946.33,Cambrian Supported Living Ltd,Trade Supplier,4 - Commissioning - Mental Health & Supporting People,Hunts Mental Health Team,Supported Living
Cambridgeshire County Council,29-Mar-16,20229332-13045022,-4171.8,Chs Group,Care Establishment,2 - Operations - Learning Disability,LDP City Locality - Care,Residential Independent Sector
Cambridgeshire County Council,11-Mar-16,20078075-12966464,-4119.28,Thera East Anglia,Trust (Other),2 - Operations - Learning Disability,LDP E Cambs Locality - Care,SDS - Care and support Services
Cambridgeshire County Council,30-Mar-16,20274819-13069409,-3475.24,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,30-Mar-16,20274820-13069410,-3475.24,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,30-Mar-16,20274826-13069416,-3475.24,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,30-Mar-16,20274831-13069421,-3475.24,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,08-Mar-16,20084880-12944645,-3333,The Mary Hare Primary School,Education,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,08-Mar-16,20084881-12944646,-3333,The Mary Hare Primary School,Education,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,29-Mar-16,20092515-13046142,-3327.56,Fostering Solutions Ltd,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
Cambridgeshire County Council,30-Mar-16,20274827-13069417,-2978.78,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,18-Mar-16,20229292-13007762,-2898.04,Pendragon Contracts Ltd,Trade Supplier,LGSS Managed,"POD - Leadership	",Leased Vehicle Costs
Cambridgeshire County Council,11-Mar-16,20178355-12966273,-2746.46,Penderels Trust,Trust (Other),2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,SDS - Care and support Services
Cambridgeshire County Council,11-Mar-16,20178357-12966275,-2746.46,Penderels Trust,Trust (Other),2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,SDS - Care and support Services
Cambridgeshire County Council,11-Mar-16,20180026-12966308,-2746.46,Penderels Trust,Trust (Other),2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,SDS - Care and support Services
Cambridgeshire County Council,11-Mar-16,20180030-12966312,-2746.46,Penderels Trust,Trust (Other),2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,SDS - Care and support Services
Cambridgeshire County Council,11-Mar-16,20180039-12966306,-2746.46,Penderels Trust,Trust (Other),2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,SDS - Care and support Services
Cambridgeshire County Council,29-Mar-16,19367611-13044817,-2631.16,Voyage (Lichfield),Care Establishment,2 - Commissioning - Older people Pool,Older People - Fenland,Supported Living
Cambridgeshire County Council,30-Mar-16,20229279-13064003,-2611.2,Fresh Start For Kids,Care Establishment,S&C,Out of School Provision - Education and Settings,Agency Placements - In Cambs
Cambridgeshire County Council,30-Mar-16,20229281-13064004,-2611.2,Fresh Start For Kids,Care Establishment,S&C,Out of School Provision - Education and Settings,Agency Placements - In Cambs
Cambridgeshire County Council,30-Mar-16,20327966-13050732,-2521.94,Fostering Solutions Ltd,Care Establishment,S&C,Placements - Social Care,Agency Placements - In Cambs
Cambridgeshire County Council,29-Mar-16,20147716-13045676,-2419.04,Cambridgeshire Community Services Nhs Trust,Trust (Other),S&C,Procurement - TA Therapy in Special Schools,Other Hired Contract Services
Cambridgeshire County Council,24-Mar-16,20271559-13035107,-2387.68,Thera East Anglia,Trust (Other),2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
Cambridgeshire County Council,24-Mar-16,20271560-13035108,-2387.68,Thera East Anglia,Trust (Other),2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
