Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,22-Dec-15,19609167-12575507,-22714.7,Metric Group Ltd,Trade Supplier,Passenger Transport,Park and Ride Admin,Specialist equipment for service provision
Cambridgeshire County Council,22-Dec-15,19732789-12576039,-21723,Wilds Lodge School Ltd,Education,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,04-Dec-15,17831444-12477359,-13295.73,Priory,Trade Supplier,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,14-Dec-15,19564910-12529969,-11831.69,Bnp Paribas Real Estate,Trade Supplier,LGSS Managed,Babbage House,Buildings service charges
Cambridgeshire County Council,24-Dec-15,19729784-12584609,-5872.88,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP South Cambs Locality - Care,Supported Living
Cambridgeshire County Council,02-Dec-15,19612261-12441643,-5831.04,Methodist Homes For The Aged (Mha),Care Establishment,4 - Commissioning - Mental Health & Supporting People,Dom Blocks,Respite Independent Sector
Cambridgeshire County Council,29-Dec-15,19424333-12586802,-5733.75,Norfolk And Suffolk Nhs Foundation Trust,Care Establishment,4 - Commissioning - Mental Health & Supporting People,Mental Health Vol Grants,Other Hired Contract Services
Cambridgeshire County Council,07-Dec-15,19564765-12485479,-5330,Brighter Futures Foster Care,Care Establishment,S&C,Placements - Social Care,Agency Placements - In Cambs
Cambridgeshire County Council,14-Dec-15,19564909-12529968,-4605.82,Bnp Paribas Real Estate,Trade Supplier,LGSS Managed,Bailey Rooms,Buildings service charges
Cambridgeshire County Council,22-Dec-15,19731784-12576046,-4138.42,Mencap,Care Establishment,2 - Operations - Learning Disability,LDP City Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,10-Dec-15,19644368-12497752,-3000,Norton College,Education,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,29-Dec-15,19274713-12587017,-2795.44,Dexter Brown Ltd,Trade Supplier,LGSS Managed,Ely Library,Rents and Leases
Cambridgeshire County Council,22-Dec-15,19687331-12576022,-2733,The Mary Hare Primary School,Charity,S&C,Placements - Education,Independent School Placements
Cambridgeshire County Council,30-Dec-15,19732859-12595722,-2710.8,St George'S Court,Care Establishment,4 - Commissioning - Mental Health & Supporting People,Dom Blocks,Respite Independent Sector
Cambridgeshire County Council,17-Dec-15,19705536-12551342,-2659.64,An Darach House ( Kisimul Group Ltd),Care Establishment,3 - Operations - Countywide Services,LDP Young Adults - Care,Residential Independent Sector
Cambridgeshire County Council,17-Dec-15,19705537-12551343,-2659.64,An Darach House ( Kisimul Group Ltd),Care Establishment,3 - Operations - Countywide Services,LDP Young Adults - Care,Residential Independent Sector
Cambridgeshire County Council,17-Dec-15,19705538-12551344,-2659.64,An Darach House ( Kisimul Group Ltd),Care Establishment,3 - Operations - Countywide Services,LDP Young Adults - Care,Residential Independent Sector
Cambridgeshire County Council,17-Dec-15,19709076-12551339,-2659.64,An Darach House ( Kisimul Group Ltd),Care Establishment,3 - Operations - Countywide Services,LDP Young Adults - Care,Residential Independent Sector
Cambridgeshire County Council,17-Dec-15,19709078-12551341,-2659.64,An Darach House ( Kisimul Group Ltd),Care Establishment,3 - Operations - Countywide Services,LDP Young Adults - Care,Residential Independent Sector
Cambridgeshire County Council,22-Dec-15,19736084-12575874,-2403.1,Kisimul School,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Residential Independent Sector
Cambridgeshire County Council,22-Dec-15,19736093-12575875,-2403.1,Kisimul School,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Residential Independent Sector
Cambridgeshire County Council,22-Dec-15,19736102-12575877,-2403.1,Kisimul School,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Residential Independent Sector
Cambridgeshire County Council,11-Dec-15,19536555-12506186,-2329.92,Guidant Group,Trade Supplier,2 - Commissioning - Older people Pool,Older People - Fenland,Pay - Agency Staff
Cambridgeshire County Council,11-Dec-15,19398215-12525403,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,11-Dec-15,19398595-12525422,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,11-Dec-15,19398621-12525247,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,11-Dec-15,19406714-12525352,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,11-Dec-15,19406733-12525367,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,11-Dec-15,19406745-12525378,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,11-Dec-15,19406833-12525302,-2312.1,Unit 2b (Dimensions),Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Locality - Care,Day and Domicillary Care Independent Sector
Cambridgeshire County Council,22-Dec-15,19734039-12575006,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Supported Living
Cambridgeshire County Council,22-Dec-15,19734042-12575009,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Supported Living
Cambridgeshire County Council,22-Dec-15,19734044-12575011,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Supported Living
Cambridgeshire County Council,22-Dec-15,19734046-12575013,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Supported Living
Cambridgeshire County Council,22-Dec-15,19734047-12575014,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Supported Living
Cambridgeshire County Council,22-Dec-15,19734048-12575015,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Locality - Care,Supported Living
Cambridgeshire County Council,22-Dec-15,19734362-12574994,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
Cambridgeshire County Council,22-Dec-15,19734364-12574996,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
Cambridgeshire County Council,22-Dec-15,19734366-12574998,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
Cambridgeshire County Council,22-Dec-15,19734367-12574999,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
Cambridgeshire County Council,22-Dec-15,19734369-12575001,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
Cambridgeshire County Council,22-Dec-15,19734371-12575003,-2217.12,Fitzroy Support Re 28 Riverbank,Care Establishment,2 - Operations - Learning Disability,LDP Fens - Special Needs,Supported Living
